Date,Timestamp,Open,High,Low,Close,Volume
20160930,08:00:00,1.29689,1.29765,1.29596,1.29638,18081.7098805904
20160930,09:00:00,1.29638,1.29723,1.29544,1.29549,30982.499833703
20160930,10:00:00,1.29548,1.29649,1.29368,1.29489,39421.7097648382
20160930,11:00:00,1.29489,1.29915,1.29463,1.29616,37232.2797546387
20160930,12:00:00,1.29616,1.29735,1.29447,1.29684,34064.6198288202
20160930,13:00:00,1.29684,1.29915,1.29604,1.29604,33667.249818325
20160930,14:00:00,1.29605,1.29814,1.29471,1.29586,28447.4398725033
20160930,15:00:00,1.29584,1.29781,1.29455,1.29781,29562.6298905611
20160930,16:00:00,1.29785,1.3,1.29625,1.29836,34323.3698577881
20160930,17:00:00,1.29836,1.29919,1.29498,1.29907,34052.8698595762
20160930,18:00:00,1.29907,1.30226,1.29861,1.30116,39070.5698195696
20160930,19:00:00,1.30116,1.30159,1.29635,1.29698,23622.8099133968
20160930,20:00:00,1.29698,1.29804,1.29671,1.29711,17407.9099174738
20160930,21:00:00,1.29711,1.29804,1.29636,1.29785,16894.459918499
20160930,22:00:00,1.29788,1.29838,1.29617,1.29629,16373.7899245024
20160930,23:00:00,1.29624,1.298,1.29536,1.29737,11987.1399851143
20161003,00:00:00,1.29184,1.29454,1.29166,1.29425,3803.92999103665
20161003,01:00:00,1.2942,1.29445,1.29331,1.29335,12204.8099813908
20161003,02:00:00,1.29334,1.29343,1.29206,1.29289,7877.0599899292
20161003,03:00:00,1.29289,1.29355,1.29255,1.29277,13126.4799609184
20161003,04:00:00,1.29277,1.29364,1.29209,1.29333,14887.6099140644
20161003,05:00:00,1.29333,1.29365,1.29264,1.29325,8824.64993846416
20161003,06:00:00,1.29325,1.29456,1.29325,1.29449,12121.2699229717
20161003,07:00:00,1.29449,1.2946,1.29308,1.29402,13269.3199319839
20161003,08:00:00,1.29402,1.29452,1.2933,1.29376,14715.2699160576
20161003,09:00:00,1.29377,1.29382,1.29018,1.29027,30748.189817071
20161003,10:00:00,1.29029,1.29035,1.28455,1.28569,35106.1498370171
20161003,11:00:00,1.28569,1.28809,1.28458,1.28763,27453.1198821068
20161003,12:00:00,1.28763,1.28935,1.28692,1.28773,21998.1499166489
20161003,13:00:00,1.28772,1.28875,1.28646,1.28839,17984.8399149179
20161003,14:00:00,1.28838,1.28838,1.28537,1.28691,19214.5899333507
20161003,15:00:00,1.28691,1.28752,1.28563,1.2861,21492.6799110174
20161003,16:00:00,1.28611,1.28618,1.28351,1.28412,29582.1498726457
20161003,17:00:00,1.28411,1.28489,1.28171,1.28342,34289.7098687887
20161003,18:00:00,1.28341,1.2846,1.28302,1.28388,29141.3898797035
20161003,19:00:00,1.28388,1.28542,1.28358,1.28537,19212.7898902893
20161003,20:00:00,1.28537,1.28719,1.28484,1.28658,16630.829913497
20161003,21:00:00,1.28657,1.28712,1.28532,1.28574,18484.3899130821
20161003,22:00:00,1.28578,1.28586,1.28462,1.28474,11884.0599566698
20161003,23:00:00,1.28474,1.28518,1.28375,1.28392,8359.24998709559
20161004,00:00:00,1.28389,1.28424,1.28278,1.28424,5048.93998196721
20161004,01:00:00,1.28419,1.28517,1.28419,1.28497,6250.12997537851
20161004,02:00:00,1.28495,1.28591,1.28457,1.28586,13409.2499192953
20161004,03:00:00,1.28586,1.28601,1.28415,1.28438,17542.8099205494
20161004,04:00:00,1.28438,1.28479,1.28317,1.28327,12533.6299319267
20161004,05:00:00,1.28333,1.28352,1.28159,1.28243,15513.2099169493
20161004,06:00:00,1.28243,1.28364,1.28234,1.28337,14912.0399178267
20161004,07:00:00,1.28333,1.28434,1.28328,1.28418,10792.6499478817
20161004,08:00:00,1.28418,1.28489,1.28398,1.28411,14765.419917345
20161004,09:00:00,1.28411,1.28461,1.27702,1.27728,30078.749864459
20161004,10:00:00,1.27728,1.27834,1.27564,1.27729,32349.4898510724
20161004,11:00:00,1.27729,1.27889,1.27695,1.27697,28109.3698353767
20161004,12:00:00,1.27697,1.27795,1.27366,1.2753,32242.1698350906
20161004,13:00:00,1.2753,1.27655,1.27459,1.27648,31146.2598065138
20161004,14:00:00,1.27648,1.27673,1.27411,1.27472,24129.1498643234
20161004,15:00:00,1.27471,1.27708,1.2736,1.27629,31647.6598457098
20161004,16:00:00,1.27629,1.27747,1.27569,1.27594,30334.0498758554
20161004,17:00:00,1.27594,1.2767,1.27395,1.27537,37992.8498448133
20161004,18:00:00,1.27535,1.27707,1.27194,1.27452,46941.0298016071
20161004,19:00:00,1.27455,1.27491,1.27233,1.27348,42782.6197845936
20161004,20:00:00,1.27348,1.27504,1.27316,1.27366,27214.6498860121
20161004,21:00:00,1.27364,1.27438,1.27257,1.27288,15476.2499393225
20161004,22:00:00,1.27288,1.27415,1.27269,1.27286,15117.2299616337
20161004,23:00:00,1.27286,1.27319,1.27201,1.27264,10849.5699713677
20161005,00:00:00,1.27265,1.27285,1.27198,1.27264,2553.66999804974
20161005,01:00:00,1.27264,1.27349,1.27212,1.27338,11720.509971261
20161005,02:00:00,1.2734,1.2735,1.27241,1.27293,12547.8399085999
20161005,03:00:00,1.2729,1.27342,1.27256,1.27281,17979.9199163914
20161005,04:00:00,1.27281,1.2745,1.27269,1.27435,16408.7099683285
20161005,05:00:00,1.27434,1.27458,1.27358,1.27378,13304.059944272
20161005,06:00:00,1.27378,1.27403,1.27305,1.27364,14202.3699342012
20161005,07:00:00,1.27364,1.27397,1.27253,1.27319,12682.7499204874
20161005,08:00:00,1.27318,1.2739,1.27311,1.27352,11793.2299346924
20161005,09:00:00,1.27352,1.27407,1.26854,1.26919,41583.5597499684
20161005,10:00:00,1.26919,1.27249,1.26919,1.27161,43357.9897296429
20161005,11:00:00,1.27161,1.27383,1.2714,1.27328,38137.2997858524
20161005,12:00:00,1.27328,1.2743,1.27107,1.27176,39927.4197345972
20161005,13:00:00,1.27178,1.27279,1.2713,1.27241,37143.759802103
20161005,14:00:00,1.27242,1.27402,1.27209,1.2721,31606.9598478079
20161005,15:00:00,1.2721,1.27354,1.27148,1.27349,30299.5498398542
20161005,16:00:00,1.27349,1.27555,1.27268,1.27555,29962.3198786974
20161005,17:00:00,1.27551,1.27551,1.27289,1.27429,33667.7698535919
20161005,18:00:00,1.27428,1.27711,1.27397,1.2744,29723.7598713636
20161005,19:00:00,1.2744,1.2755,1.2739,1.27535,20769.7498876154
20161005,20:00:00,1.27535,1.27599,1.27452,1.27531,17068.8299399912
20161005,21:00:00,1.2753,1.27581,1.27467,1.27503,11587.7199652195
20161005,22:00:00,1.27502,1.27555,1.2741,1.27443,14265.2299357653
20161005,23:00:00,1.27442,1.27512,1.27419,1.27458,11473.009958744
20161006,00:00:00,1.27464,1.27494,1.27421,1.27454,3505.26999676228
20161006,01:00:00,1.27452,1.27521,1.27442,1.27511,8714.53998558223
20161006,02:00:00,1.2751,1.27598,1.27469,1.27521,8195.06996834278
20161006,03:00:00,1.27521,1.27543,1.2744,1.27469,16296.0999195576
20161006,04:00:00,1.27471,1.27491,1.2729,1.27292,16382.8899070024
20161006,05:00:00,1.27292,1.27381,1.27273,1.27359,14014.1599111557
20161006,06:00:00,1.27358,1.274,1.27251,1.27267,10946.339982152
20161006,07:00:00,1.27267,1.27267,1.27122,1.27186,17074.2799527645
20161006,08:00:00,1.27186,1.2721,1.27096,1.27104,18920.3299295902
20161006,09:00:00,1.27104,1.27181,1.26959,1.27148,38385.7797443867
20161006,10:00:00,1.27148,1.27318,1.27094,1.27098,42242.809730649
20161006,11:00:00,1.27098,1.27381,1.27088,1.27268,28985.04984653
20161006,12:00:00,1.27268,1.27357,1.2713,1.27147,29906.7597888708
20161006,13:00:00,1.27146,1.27227,1.27019,1.27054,23847.4098813534
20161006,14:00:00,1.27054,1.27063,1.26536,1.26612,31274.2198825926
20161006,15:00:00,1.26612,1.26671,1.26331,1.2636,30353.549913168
20161006,16:00:00,1.2636,1.2656,1.2622,1.26417,35220.1098248959
20161006,17:00:00,1.26418,1.26539,1.26343,1.26458,24688.4099045992
20161006,18:00:00,1.26458,1.26577,1.26291,1.26446,26698.2798980474
20161006,19:00:00,1.26446,1.26648,1.26398,1.26451,24482.2999055386
20161006,20:00:00,1.26451,1.26468,1.26343,1.26394,16093.5399336815
20161006,21:00:00,1.26394,1.26401,1.26019,1.26029,19253.7499233484
20161006,22:00:00,1.26032,1.26178,1.26029,1.26145,15549.3899408579
20161006,23:00:00,1.26142,1.26193,1.26045,1.2614,9434.87996530533
20161007,00:00:00,1.26159,1.26223,1.26095,1.26141,6111.70999515057
20161007,01:00:00,1.26142,1.2621,1.261,1.26137,6420.01996982098
20161007,02:00:00,1.26137,1.26147,1.19198,1.23878,31008.6799510345
20161007,03:00:00,1.23881,1.24818,1.23714,1.23969,21543.2799759507
20161007,04:00:00,1.23969,1.24103,1.23505,1.24002,21145.7899829149
20161007,05:00:00,1.24003,1.24464,1.23866,1.24339,24197.4299625158
20161007,06:00:00,1.24337,1.24337,1.24075,1.24283,19259.3499704599
20161007,07:00:00,1.24286,1.24416,1.24246,1.24356,14733.0799839497
20161007,08:00:00,1.24355,1.24689,1.24216,1.24621,16752.9499871731
20161007,09:00:00,1.24621,1.24703,1.24174,1.24441,31862.7198876143
20161007,10:00:00,1.24447,1.24768,1.24276,1.24579,30320.6999282837
20161007,11:00:00,1.24579,1.24605,1.24244,1.24337,23392.8599778414
20161007,12:00:00,1.24339,1.24345,1.23132,1.23146,23240.0599832535
20161007,13:00:00,1.23146,1.23959,1.22272,1.23771,38985.2199316025
20161007,14:00:00,1.23772,1.23784,1.23232,1.23669,30115.9499094486
20161007,15:00:00,1.23668,1.239,1.23117,1.23844,40969.3099103644
20161007,16:00:00,1.23838,1.24334,1.23496,1.24136,39446.7699146271
20161007,17:00:00,1.24136,1.24657,1.24091,1.24644,34941.4599256516
20161007,18:00:00,1.24645,1.24694,1.2376,1.24278,34179.7498972416
20161007,19:00:00,1.24278,1.24629,1.24106,1.2459,28873.3199259043
20161007,20:00:00,1.24587,1.2463,1.24309,1.24331,19606.5699414015
20161007,21:00:00,1.24331,1.24493,1.24248,1.24304,13737.0799664259
20161007,22:00:00,1.24306,1.24451,1.24279,1.24396,13913.5699808598
20161007,23:00:00,1.24397,1.24421,1.24188,1.2427,8472.15998545289
20161010,00:00:00,1.23904,1.2432,1.23904,1.24283,4073.5999635309
20161010,01:00:00,1.2428,1.24393,1.2428,1.24345,8415.40997517109
20161010,02:00:00,1.24345,1.24374,1.24278,1.24345,8401.19998443127
20161010,03:00:00,1.24345,1.24392,1.2431,1.24387,8057.54999804497
20161010,04:00:00,1.24387,1.24441,1.24165,1.24188,14206.0099416971
20161010,05:00:00,1.24188,1.24299,1.24076,1.24088,12882.6699755192
20161010,06:00:00,1.24091,1.24095,1.23956,1.24013,15432.6099836826
20161010,07:00:00,1.24013,1.24166,1.23978,1.24071,11002.73998487
20161010,08:00:00,1.24071,1.24086,1.23924,1.23987,10920.5199632645
20161010,09:00:00,1.23984,1.24035,1.23657,1.23663,21474.7399084568
20161010,10:00:00,1.23666,1.24175,1.23663,1.24083,33770.6098251343
20161010,11:00:00,1.24078,1.24239,1.2398,1.24173,33963.2598553896
20161010,12:00:00,1.24171,1.24234,1.24076,1.24165,30194.2898831367
20161010,13:00:00,1.24169,1.24263,1.24015,1.24261,21141.6599559784
20161010,14:00:00,1.24261,1.24299,1.23862,1.23903,21807.4799324274
20161010,15:00:00,1.23904,1.23929,1.23765,1.23896,19095.0899469852
20161010,16:00:00,1.23898,1.23924,1.23585,1.23661,18759.5899672508
20161010,17:00:00,1.23662,1.23812,1.23551,1.23774,19924.9099394083
20161010,18:00:00,1.23773,1.2399,1.23731,1.23956,19360.0199126005
20161010,19:00:00,1.23957,1.24002,1.23702,1.23803,16489.6999225616
20161010,20:00:00,1.23802,1.23803,1.23546,1.23591,12540.6399700642
20161010,21:00:00,1.23591,1.23615,1.23447,1.23486,12318.2399714515
20161010,22:00:00,1.23479,1.23624,1.23476,1.23624,11313.3399575949
20161010,23:00:00,1.23623,1.23637,1.23589,1.23599,8563.46997082233
20161011,00:00:00,1.23599,1.23738,1.23591,1.23631,1761.51999509335
20161011,01:00:00,1.2363,1.23657,1.23587,1.23609,4210.88999450207
20161011,02:00:00,1.23611,1.23638,1.23378,1.23456,8540.21996951103
20161011,03:00:00,1.23456,1.23514,1.23305,1.23368,15143.319950819
20161011,04:00:00,1.23368,1.23388,1.2306,1.23131,20583.859931469
20161011,05:00:00,1.23131,1.2322,1.23009,1.23216,16855.4399533272
20161011,06:00:00,1.23216,1.23259,1.23068,1.23229,18205.3199541569
20161011,07:00:00,1.23229,1.23282,1.23165,1.23223,13923.5199853182
20161011,08:00:00,1.23225,1.23227,1.23048,1.23169,16562.8199406862
20161011,09:00:00,1.23169,1.23221,1.22848,1.22913,22783.7599538565
20161011,10:00:00,1.22914,1.23072,1.22778,1.2296,28629.049913764
20161011,11:00:00,1.2296,1.23079,1.22817,1.2285,24562.9399095774
20161011,12:00:00,1.2285,1.23082,1.2284,1.23004,22794.7499517202
20161011,13:00:00,1.23004,1.23041,1.22493,1.22571,25689.7099245787
20161011,14:00:00,1.22571,1.22751,1.22521,1.22717,28164.5298975706
20161011,15:00:00,1.22717,1.23072,1.22681,1.23069,28249.6098610163
20161011,16:00:00,1.23069,1.23287,1.22764,1.22767,32727.0798637867
20161011,17:00:00,1.22767,1.2283,1.22201,1.22254,35101.0298633575
20161011,18:00:00,1.22255,1.22512,1.21998,1.22166,33642.379861474
20161011,19:00:00,1.22165,1.22264,1.21488,1.21575,27997.0698698759
20161011,20:00:00,1.21575,1.21617,1.20893,1.21143,26712.4499593973
20161011,21:00:00,1.21143,1.21595,1.21119,1.21346,20001.6599472761
20161011,22:00:00,1.21346,1.21361,1.21236,1.21264,13060.3599675894
20161011,23:00:00,1.21264,1.21474,1.21162,1.21196,11298.0099907517
20161012,00:00:00,1.21176,1.21252,1.21046,1.21154,4367.89000755548
20161012,01:00:00,1.21156,1.22845,1.21156,1.22413,18884.5799479932
20161012,02:00:00,1.22411,1.22894,1.22031,1.2272,20569.0399432182
20161012,03:00:00,1.22717,1.22787,1.22542,1.22607,21919.3999606371
20161012,04:00:00,1.22607,1.2287,1.2259,1.22749,14579.2799522877
20161012,05:00:00,1.2275,1.23218,1.22733,1.23163,18059.2799346447
20161012,06:00:00,1.23163,1.23249,1.22848,1.22925,11764.7199798822
20161012,07:00:00,1.22924,1.23146,1.22906,1.22932,10818.2699799538
20161012,08:00:00,1.22932,1.22936,1.22479,1.2256,14370.1099745035
20161012,09:00:00,1.22563,1.22851,1.22469,1.2258,22623.2899392843
20161012,10:00:00,1.22564,1.23131,1.22174,1.23051,32377.3799037933
20161012,11:00:00,1.23049,1.23181,1.2232,1.22571,47173.7996355295
20161012,12:00:00,1.22573,1.22781,1.2239,1.2244,38082.0297176838
20161012,13:00:00,1.2244,1.22748,1.22338,1.22545,36099.5297011137
20161012,14:00:00,1.22545,1.2276,1.22465,1.22534,33748.9198149443
20161012,15:00:00,1.22534,1.22563,1.21927,1.21947,33973.0498707294
20161012,16:00:00,1.21947,1.22288,1.21656,1.22258,34384.2598800659
20161012,17:00:00,1.22258,1.22346,1.21811,1.21815,43872.2897945642
20161012,18:00:00,1.21815,1.22198,1.21815,1.21916,36561.8198029995
20161012,19:00:00,1.21919,1.22345,1.21917,1.22207,24775.0999077559
20161012,20:00:00,1.22205,1.22443,1.2217,1.22321,19586.6199361086
20161012,21:00:00,1.22321,1.22591,1.21972,1.21994,36372.2098673731
20161012,22:00:00,1.21994,1.22208,1.21895,1.22092,21264.1299475431
20161012,23:00:00,1.22091,1.22186,1.22044,1.22045,7237.40998107195
20161013,00:00:00,1.22045,1.22135,1.21895,1.2195,2766.56999418139
20161013,01:00:00,1.2195,1.2204,1.21915,1.2196,7649.8699721694
20161013,02:00:00,1.2196,1.21961,1.21771,1.21861,6926.55998671055
20161013,03:00:00,1.21861,1.22043,1.21594,1.21675,9878.89997911453
20161013,04:00:00,1.21674,1.21803,1.21617,1.2177,10983.1199728251
20161013,05:00:00,1.21769,1.22054,1.21698,1.21846,17880.6899456978
20161013,06:00:00,1.21847,1.21935,1.21764,1.21834,12132.2799656391
20161013,07:00:00,1.21834,1.21925,1.21806,1.2185,10346.2499678135
20161013,08:00:00,1.2185,1.21943,1.2178,1.21831,14766.9399528503
20161013,09:00:00,1.21837,1.21837,1.21546,1.21644,27605.4098623991
20161013,10:00:00,1.21643,1.21829,1.21327,1.21697,43559.7697913647
20161013,11:00:00,1.21692,1.21811,1.21465,1.2164,30169.3998867273
20161013,12:00:00,1.21638,1.22133,1.2161,1.21901,28792.689887166
20161013,13:00:00,1.21901,1.22052,1.21753,1.2205,25311.1599267721
20161013,14:00:00,1.22047,1.22176,1.21878,1.2213,20508.5099371672
20161013,15:00:00,1.2213,1.22141,1.21809,1.21932,24231.66991961
20161013,16:00:00,1.21934,1.22027,1.21865,1.21948,26512.4799066782
20161013,17:00:00,1.21947,1.22148,1.21872,1.21931,30347.0498610735
20161013,18:00:00,1.2193,1.22327,1.21856,1.22011,32068.7798831463
20161013,19:00:00,1.22011,1.22601,1.21885,1.22488,26292.4898804426
20161013,20:00:00,1.22488,1.22718,1.22465,1.22597,26825.6099087
20161013,21:00:00,1.22595,1.22642,1.22413,1.22548,22903.4399291277
20161013,22:00:00,1.22548,1.22561,1.22387,1.22435,12562.1999716759
20161013,23:00:00,1.22434,1.2259,1.2242,1.22512,9337.63999277353
20161014,00:00:00,1.22505,1.22548,1.22477,1.22479,4016.89998653531
20161014,01:00:00,1.22478,1.22479,1.22383,1.22419,12865.5999560207
20161014,02:00:00,1.22419,1.22462,1.22192,1.22256,7853.9599725008
20161014,03:00:00,1.22256,1.22307,1.22169,1.22305,14649.8399415016
20161014,04:00:00,1.22306,1.22613,1.22288,1.22398,20651.2399104834
20161014,05:00:00,1.22398,1.2245,1.22347,1.22417,11285.7899471521
20161014,06:00:00,1.22417,1.22431,1.22217,1.22233,13736.2799607515
20161014,07:00:00,1.22233,1.22259,1.21951,1.21976,12159.3999590874
20161014,08:00:00,1.21977,1.22029,1.21852,1.21991,15384.2599298954
20161014,09:00:00,1.21991,1.22135,1.21877,1.22039,18184.8299193382
20161014,10:00:00,1.22038,1.2213,1.21678,1.21894,28102.1398880482
20161014,11:00:00,1.21894,1.22157,1.21804,1.22144,28437.5598592758
20161014,12:00:00,1.22146,1.22371,1.2204,1.22083,26355.4498540163
20161014,13:00:00,1.22083,1.22547,1.22062,1.22331,25762.8798671961
20161014,14:00:00,1.22331,1.2252,1.2228,1.22507,20575.169903636
20161014,15:00:00,1.22503,1.22608,1.21933,1.21952,29026.6598941088
20161014,16:00:00,1.21951,1.22227,1.21875,1.21986,23122.9699589014
20161014,17:00:00,1.21994,1.22258,1.21856,1.21946,22812.7899507284
20161014,18:00:00,1.21944,1.22039,1.21748,1.21875,20821.8099576235
20161014,19:00:00,1.21875,1.22112,1.21819,1.22068,15035.3999855518
20161014,20:00:00,1.22068,1.22239,1.2184,1.21841,22190.7299272418
20161014,21:00:00,1.2184,1.21991,1.21836,1.21843,19393.9199672937
20161014,22:00:00,1.21841,1.21877,1.21719,1.21723,12660.0300227404
20161014,23:00:00,1.21723,1.21969,1.21716,1.2181,6379.02999722958
20161017,00:00:00,1.21546,1.21817,1.21515,1.21684,1481.21000657976
20161017,01:00:00,1.2167,1.21822,1.21559,1.21637,11521.4999456778
20161017,02:00:00,1.21647,1.21818,1.21515,1.21757,13135.8999630213
20161017,03:00:00,1.21757,1.21807,1.21605,1.21653,15985.2799378634
20161017,04:00:00,1.21652,1.21673,1.21534,1.21581,14301.3099484444
20161017,05:00:00,1.21581,1.21708,1.21513,1.21679,10972.6699770689
20161017,06:00:00,1.21679,1.21737,1.216,1.21659,11590.4599634409
20161017,07:00:00,1.21659,1.2169,1.21539,1.21601,9071.6499671936
20161017,08:00:00,1.21601,1.21656,1.21543,1.21652,12804.8099247217
20161017,09:00:00,1.21654,1.21908,1.21563,1.21826,15367.109951973
20161017,10:00:00,1.21834,1.21976,1.21602,1.21636,25249.519903779
20161017,11:00:00,1.21636,1.21842,1.21537,1.21684,22506.5799179077
20161017,12:00:00,1.21676,1.21807,1.21582,1.21701,30038.3598344326
20161017,13:00:00,1.21701,1.21745,1.21574,1.21619,22557.639878273
20161017,14:00:00,1.21619,1.21663,1.21356,1.21487,25816.6698669195
20161017,15:00:00,1.21489,1.21681,1.21373,1.21663,23354.5698920488
20161017,16:00:00,1.21663,1.21736,1.2155,1.21621,22286.7098811194
20161017,17:00:00,1.2162,1.21641,1.21426,1.21538,18563.8199363947
20161017,18:00:00,1.2154,1.21991,1.2151,1.2185,29816.1797811985
20161017,19:00:00,1.2185,1.21977,1.21781,1.21973,19475.5998706818
20161017,20:00:00,1.21971,1.22014,1.21881,1.2198,18919.8898839951
20161017,21:00:00,1.2198,1.21995,1.21883,1.21921,17498.6998889446
20161017,22:00:00,1.21922,1.21981,1.21841,1.21889,12595.2699276209
20161017,23:00:00,1.21889,1.21896,1.2176,1.21797,10913.1899436712
20161018,00:00:00,1.21797,1.21872,1.21765,1.21839,3500.76000118256
20161018,01:00:00,1.21839,1.21887,1.2182,1.21883,10430.4599504173
20161018,02:00:00,1.21883,1.22292,1.21825,1.22186,9683.74996554852
20161018,03:00:00,1.22185,1.22468,1.22169,1.22458,13945.6399627924
20161018,04:00:00,1.22458,1.2273,1.22329,1.22419,16464.8199623823
20161018,05:00:00,1.22419,1.22419,1.22256,1.22293,8224.39997816086
20161018,06:00:00,1.22292,1.22343,1.22199,1.2222,13206.9899485111
20161018,07:00:00,1.22221,1.22327,1.22201,1.22265,8318.33997130394
20161018,08:00:00,1.22264,1.2235,1.22223,1.22281,10544.7899590731
20161018,09:00:00,1.22281,1.22498,1.22202,1.22369,21051.8798978329
20161018,10:00:00,1.22369,1.22532,1.2234,1.22478,25062.6498674154
20161018,11:00:00,1.22473,1.22765,1.22295,1.22466,27449.4098758698
