P/DD,TPPip,LAP1300,BrkOutPip1300,ChanFactor1300,AnalysisMin1300,HourEnd1300
339.7932816537,80,90,40,160,900,18
107.9142621599,50,200,160,180,60,17
139.7435897436,70,90,120,120,60,16
105.501618123,70,30,140,180,840,18
199.3874425727,70,90,120,200,660,16
148.6766398159,90,200,120,200,660,1
88.8965517241,100,80,120,180,540,21
135.7293868922,70,190,140,200,360,5
209.3137254902,90,90,40,200,660,16
117.6199261993,70,180,180,180,360,4
123.666343356,100,200,140,200,660,1
211.9800332779,80,180,200,80,720,10
144.9771689498,100,90,20,160,840,20
112.9893238434,70,90,120,180,960,22
117.9271708683,60,190,140,200,300,3
270.8154506438,60,200,80,200,660,1
107.7844311377,60,180,200,120,60,16
127.2543059777,70,100,200,120,300,18
180.7194244604,90,180,200,100,720,6
170.612244898,50,200,200,200,1020,1
144.5727482679,100,70,160,200,1200,16
174.3016759777,70,200,140,180,660,2
184.6953937593,50,80,120,160,900,22
146.39905549,100,90,140,160,1380,22
181.3782991202,80,80,140,80,960,23
178.0346820809,100,90,180,160,1380,20
296.6019417476,70,200,80,200,660,1
114.3932267168,100,80,120,200,1200,19
174.212034384,60,80,60,160,900,18
100.4149377593,80,80,140,120,60,16
151.0611735331,60,80,120,160,900,18
260.1731601732,80,80,140,200,1260,16
96.6908797417,90,90,140,160,300,18
431.7689530686,70,190,140,40,780,7
244.5807770961,70,200,180,20,1020,1
112.3120300752,100,190,60,60,240,1
441.8518518519,70,80,120,80,840,16
173.2168850073,80,180,200,160,120,16
224.9527410208,80,90,40,80,720,18
148.8050314465,100,180,140,200,660,1
148.9226869455,80,180,200,160,900,11
157.7956989247,100,90,200,160,1380,20
82.5284090909,100,90,180,160,360,18
403.125,100,180,140,160,900,22
233.6693548387,100,80,100,160,1080,16
117.6229508197,100,80,20,180,1020,23
117.6229508197,100,80,180,20,1020,23
80.2382620883,50,190,180,200,300,3
189.238410596,70,80,120,80,960,23
190.9698996656,70,80,60,180,840,18
277.6155717762,80,80,200,80,960,16
82.6086956522,70,30,140,180,1380,10
428.5714285714,70,190,200,40,720,7
428.5714285714,70,190,100,80,720,10
96.5106382979,100,90,140,160,360,22
103.9449541284,80,180,140,120,60,16
205.8181818182,100,200,80,200,660,1
111.3300492611,90,190,60,60,240,1
150.1329787234,80,90,40,140,540,5
320.5128205128,70,200,60,200,660,1
109.5609756098,70,80,140,180,660,18
219.3359375,100,190,100,40,720,7
219.3359375,100,190,40,100,720,10
194.2906574394,60,190,120,100,420,10
269.0647482014,60,190,40,100,720,10
215.2215799615,80,80,40,160,900,22
212.6213592233,70,180,40,200,360,5
190.6360424028,80,90,140,160,1380,20
115.2777777778,50,40,200,180,660,15
348.5436893204,70,190,160,40,780,7
293.4426229508,70,200,80,160,660,1
84.4217151849,70,30,140,200,1200,16
153.7356321839,70,190,80,40,780,7
84.5727848101,70,180,200,180,360,4
112.671594509,70,180,180,200,660,1
110.2378490176,70,180,140,120,60,16
166.9278996865,70,200,200,160,1020,9
185.6392294221,100,200,140,20,1020,1
373.851590106,90,190,200,200,420,18
239.8169336384,80,190,160,40,780,7
95.4128440367,80,80,140,180,300,16
100.0962463908,70,200,80,200,300,1
446.9827586207,80,80,140,200,300,15
237.299771167,100,190,160,40,780,7
119.2174913694,100,90,140,40,780,7
132.6923076923,70,80,140,160,420,16
140.4632152589,100,90,40,160,900,20
584.6590909091,50,200,80,80,780,1
100,60,90,120,120,780,11
98.8439306358,80,80,140,160,1200,20
113.0242825607,100,130,20,80,1260,6
85.3801169591,70,90,120,160,900,5
134.255599473,90,90,200,160,1380,20
156.4142194745,90,90,40,80,720,17
101.9153225806,80,190,100,180,360,10
101.9153225806,80,190,100,180,360,7
71.7530163236,50,200,180,180,60,17
160.5723370429,80,90,160,160,1380,20
175,80,190,140,180,660,11
108.3961248654,70,90,120,200,1020,21
360.071942446,70,200,200,40,780,7
383.8461538462,80,190,60,60,960,20
130.4749340369,70,180,200,120,480,5
139.5744680851,80,180,120,180,660,11
69.6453900709,90,80,200,100,720,4
95.5209347614,80,200,100,20,1020,1
219.4630872483,90,200,60,200,660,1
331.4189189189,70,190,120,80,720,10
134.478021978,100,90,180,180,1020,17
153.2182103611,100,180,140,80,720,10
173.3096085409,50,40,200,60,720,15
157.6051779935,100,100,40,120,300,18
134.6260387812,100,90,180,160,1080,16
88.267644363,100,90,140,200,1380,22
98.6666666667,70,200,200,160,660,1
63.9519359146,90,90,120,120,780,11
77.5080906149,80,80,160,200,660,18
204.0598290598,80,190,40,180,660,11
240.3022670025,70,200,80,180,660,1
105.1819184123,100,80,20,160,1020,23
65.8350658351,50,40,200,200,660,1
70.1702442635,90,90,140,160,360,21
248.8188976378,70,200,80,160,720,1
98.4358706986,80,90,40,180,900,1
188.8,80,190,100,80,720,10
206.3457330416,70,190,120,160,720,10
85.0315599639,100,90,180,160,1380,22
80.3418803419,100,200,60,200,300,3
69.7604790419,70,80,160,160,1020,22
170.0729927007,70,90,120,60,960,20
117.3803526448,50,200,180,200,660,1
117.3803526448,50,200,180,200,660,4
163.6203866432,60,90,120,60,960,20
510.989010989,100,200,80,160,900,22
510.989010989,100,200,60,160,900,22
114.5499383477,90,90,40,200,660,22
321.107266436,80,180,200,160,900,22
321.107266436,80,180,100,160,900,22
182.6429980276,70,200,140,20,1020,1
330.9352517986,100,180,140,200,660,18
142.480620155,100,90,40,160,960,20
119.7385620915,100,90,80,100,540,16
90.0296150049,80,80,140,160,300,17
79.4245858762,70,200,200,200,540,2
349.2307692308,70,190,60,60,960,20
222.3039215686,70,190,40,180,660,11
179.5634920635,100,170,180,200,300,16
142.429022082,100,180,140,80,840,5
66.5682656827,100,10,200,100,1440,17
63.5850388144,80,30,140,160,1380,4
196.0784313725,70,180,40,180,360,4
63.1320224719,70,90,200,200,660,18
135.6060606061,80,70,160,200,1200,16
86.0173577628,70,180,200,200,660,4
94.3855932203,100,180,140,140,540,1
94.3855932203,100,180,140,140,540,5
157.3451327434,100,190,120,80,720,10
151.7948717949,50,200,80,140,540,1
154.9295774648,70,200,200,100,720,1
391.4798206278,100,170,20,200,300,16
302.8169014085,60,200,60,200,1020,9
345.9677419355,90,190,180,200,540,18
135.6012658228,70,180,40,180,660,4
467.2131147541,90,200,200,160,900,22
158.6270871985,70,70,120,200,1200,16
305,100,180,200,160,900,18
110.3626943005,80,90,200,160,1380,20
203.3653846154,70,190,40,160,660,11
126.5460030166,90,190,60,200,660,1
76.1425959781,60,200,60,200,300,3
109.6179183136,90,90,40,160,900,22
184.0707964602,90,90,40,120,480,16
435.0785340314,100,200,180,200,1020,23
191.2037037037,70,190,40,200,660,1
191.2037037037,70,190,40,200,660,12
191.2037037037,70,190,40,200,660,11
55.751014885,70,180,200,200,360,5
91.3525498891,80,80,140,200,1140,16
67.8747940692,100,90,200,160,1380,22
83.2995951417,50,200,180,160,240,1
57.0735090153,60,40,180,160,660,15
57.0535093815,80,80,140,200,1320,11
224.3835616438,70,190,140,180,660,23
283.044982699,70,180,200,160,900,22
93.3789954338,80,80,140,200,1200,16
278.892733564,80,180,120,140,720,20
322.4,100,90,140,80,1440,17
145.8333333333,100,200,140,80,720,10
71.8498659517,70,200,200,180,660,1
71.8498659517,70,200,200,180,660,11
65.2138157895,100,200,200,200,960,1
430.9782608696,80,200,200,160,900,22
430.9782608696,80,200,80,160,900,22
430.9782608696,80,200,180,160,900,22
99.8737373737,60,130,20,80,1260,6
109.2797783934,100,180,120,180,660,21
105.0666666667,70,80,140,80,960,18
53.9780521262,100,200,180,200,660,1
57.4046920821,100,90,140,160,360,23
138.2978723404,100,190,200,120,300,18
314.5161290323,90,190,200,180,840,18
320.5761316872,70,180,40,100,180,15
113.4306569343,70,200,40,200,300,3
194,70,190,200,80,1080,8
306.7193675889,70,190,120,40,780,7
101.8396846255,80,180,120,200,660,11
257.1428571429,60,190,120,80,720,10
94.1391941392,70,90,120,200,420,17
137.9248658318,70,200,40,200,660,1
67.6031606673,90,90,180,160,1380,22
193.6868686869,70,200,60,80,540,7
82.9189189189,70,80,60,120,60,16
152.0874751491,80,180,200,180,1380,4
307.2580645161,90,190,200,200,660,18
221.2209302326,70,200,200,20,1020,1
65.1762682717,80,200,140,200,660,1
304.8387096774,90,190,200,140,780,18
56.3106796117,100,90,180,160,1260,11
116.4086687307,100,90,140,80,1080,17
67.29390681,80,190,100,200,360,5
90.4704463209,80,190,20,180,360,10
85.1305334847,100,90,80,200,420,17
62.2814321399,70,90,160,200,660,23
205.8011049724,50,200,80,80,720,1
300,80,190,100,160,660,20
175.4716981132,80,190,120,40,780,7
191.4948453608,100,200,140,40,780,7
191.4948453608,100,200,140,40,780,1
148.6973947896,100,80,100,120,480,16
62.1123218776,50,180,200,120,60,16
98.1456953642,70,190,180,200,720,7
60.391198044,100,180,140,200,360,5
144.7937131631,100,120,160,100,180,15
104.5779685265,70,180,40,200,660,4
65.1745747538,80,190,100,160,240,1
171.4622641509,100,190,120,40,780,7
303.7656903766,100,80,120,200,660,15
277.0992366412,80,200,40,120,540,22
67.3791821561,100,180,140,80,540,6
220.0607902736,70,190,60,80,1080,8
220.0607902736,70,190,60,80,1080,9
103.2904148784,70,190,120,120,480,5
135.9168241966,100,180,200,200,360,16
300.4184100418,100,80,100,200,600,15
96.2365591398,100,80,20,180,1020,17
123.2358003442,80,90,40,200,540,18
178.3042394015,90,190,200,20,780,18
288.3064516129,60,190,140,120,480,19
115.9349593496,80,190,100,160,1020,7
115.9349593496,80,190,100,160,1020,9
252.8368794326,70,190,60,80,840,1
142.6853707415,60,90,120,60,540,16
122.0689655172,70,190,140,180,660,2
159.8194130926,70,200,200,80,720,1
246.6898954704,80,190,100,200,420,17
89.2676767677,100,90,140,60,960,20
224.6794871795,60,200,60,160,1020,9
365.9685863874,80,200,200,200,1020,23
102.3494860499,70,70,160,200,1200,16
376.0869565217,70,200,200,160,900,22
470.7482993197,90,180,140,100,180,15
56.1990212072,80,190,100,200,300,3
70.7091469681,100,170,200,160,900,22
152.2123893805,80,90,40,120,480,16
375.956284153,90,170,160,100,180,15
74.2671009772,100,90,20,160,840,22
96.1971830986,70,80,140,80,960,23
51.708428246,70,190,160,120,240,1
104.6082949309,50,200,200,160,900,1
455.7046979866,70,180,140,160,1380,5
455.7046979866,70,180,60,180,1380,4
81.686746988,80,90,40,180,540,21
240.4255319149,80,180,200,160,900,18
99.4126284875,50,130,20,80,1260,6
116.955017301,80,90,40,160,1020,22
459.8639455782,80,180,200,100,180,15
272.5806451613,70,190,120,160,660,20
74.7228381375,70,190,60,160,240,1
83.9799749687,80,90,40,160,900,22
110.5610561056,70,200,80,60,240,1
90.3924221922,80,180,100,120,780,11
75.4545454545,90,190,40,40,180,19
267.3387096774,80,190,100,200,660,18
267.3387096774,80,190,100,180,660,18
396.4071856287,100,90,80,80,1440,17
356.5217391304,70,200,200,200,660,20
